Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Ticker,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,Signal_Line,RSI,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility
2021-12-07 00:00:00+05:30,720.0913740885894,728.6766542380091,718.165077039117,725.6801147460938,12427534,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,725.6801147460938,725.6801147460938,0.0,0.0,,,,,,
2021-12-08 00:00:00+05:30,730.5792222790491,739.6401401548495,729.6279472500399,739.0455932617188,15295534,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,727.736342210036,726.6701501916956,1.0661920183404163,0.21323840366808328,,,,,0.018417865177829063,
2021-12-09 00:00:00+05:30,734.9550484079257,739.4736046987022,723.9202815328325,726.2271118164062,11747744,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,727.5041529187083,726.6373325342668,0.866820384441553,0.3439547998227772,,,,,-0.017344642282134615,
2021-12-10 00:00:00+05:30,725.2996823860045,726.7741471193556,717.4754101669981,724.1819458007812,7779384,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,726.993044131335,726.45545203549,0.5375920958449569,0.3826822590272132,,,,,-0.002816152113227721,
2021-12-13 00:00:00+05:30,725.8227874165515,731.3639756168698,716.8807796550856,718.7595825195312,10322142,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,725.726357729519,725.8853876269004,-0.1590298973814015,0.2743398277454903,,,,,-0.007487570371909946,
2021-12-14 00:00:00+05:30,714.6453871321823,721.0664937719724,712.0531858243114,714.62158203125,9191100,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,724.0179306990161,725.0510316568522,-1.0331009578360408,0.012851670629184075,,,,,-0.005757141315286485,
2021-12-15 00:00:00+05:30,714.8832114257813,724.5624236009718,711.387287173768,713.456298828125,10115148,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,722.3930642573406,724.1921625584279,-1.7990983010872696,-0.34953832371410665,,,,,-0.0016306297380674906,
2021-12-16 00:00:00+05:30,719.5444766662719,721.5421310623909,710.6024679019197,713.5038452148438,13210432,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,721.0254920969566,723.4004353477919,-2.374943250835372,-0.7546193091383597,,,,,6.664232525088742e-05,
2021-12-17 00:00:00+05:30,712.0293739008451,716.3101116196879,698.0931712139019,700.6378784179688,14994768,0.0,0.0,HDFCBANK,HDFCBANK.NS,,,,717.8889361463431,721.7143200196568,-3.82538387331374,-1.368772221973436,,,,,-0.01803209174437026,
2021-12-20 00:00:00+05:30,690.6256885800706,693.4795137394923,672.599014710812,678.0926513671875,21156668,0.0,0.0,HDFCBANK,HDFCBANK.NS,715.4206604003906,,,711.7664307957039,718.4830853046592,-6.716654508955344,-2.4383486793698177,,,,,-0.032178144723902236,
